surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-1.0698480292184689,1.0,0,1,0,0,1,0,3.9
-0.3180886593947588,2.0,0,1,0,0,1,0,6.5
-0.011520122055302506,3.0,0,1,0,0,1,0,7.4
0.3323698024385224,3.0,0,1,0,0,1,0,8.9
-0.40072887380800354,2.0,0,1,0,0,0,0,7.4
0.21773982760724742,3.0,0,1,0,0,0,0,9.5
0.0031418514696280116,2.0,0,1,0,0,0,0,7.5
0.7495695945569998,3.0,0,1,0,0,0,0,10.0
0.031132891835404453,2.0,0,1,0,0,0,0,6.5
0.6176118328326252,3.0,0,1,0,0,0,0,8.8
2.001168970912432,4.0,0,1,0,0,0,0,13.5
3.536677470977883,5.0,0,1,0,0,0,0,18.8
3.536677470977883,6.0,0,1,0,0,0,0,18.8
-0.3727378334422271,2.0,1,1,0,0,0,0,5.800000000000001
0.4203416435881055,3.0,1,1,0,0,0,0,9.5
-1.2537891516221427,1.0,0,1,0,0,0,0,4.0
-0.6086623165252,2.0,0,1,0,0,0,0,5.800000000000001
-0.03951116242107895,3.0,0,1,0,0,0,0,7.800000000000001
-1.1498224302635445,1.0,0,1,0,0,0,0,3.6
-0.6059965031570308,2.0,0,1,0,0,0,0,4.800000000000001
-0.38206818023081923,2.0,0,1,0,0,0,0,5.7
0.3643595628565526,3.0,0,1,0,0,0,0,7.9
-1.1924754441542516,1.0,0,0,0,1,0,0,3.7
-0.25944076529503673,2.0,0,0,0,1,0,0,5.7
-0.1368133503592542,2.0,0,0,0,1,0,0,5.9
-0.07549964289136295,2.0,0,0,0,1,0,0,6.1000000000000005
0.0231354517308969,2.0,0,0,0,1,0,0,6.300000000000001
0.6949204205095315,2.0,0,0,0,1,0,0,7.9
-0.056838949314178655,3.0,0,0,0,1,0,0,6.1000000000000005
0.10844147951231083,3.0,0,0,0,1,0,0,6.5
0.5189767382103653,3.0,0,0,0,1,0,0,7.300000000000001
0.5749588189419182,3.0,0,0,0,1,0,0,7.6
0.7189127408230542,3.0,0,0,0,1,0,0,8.0
1.4013609630743655,3.0,0,0,0,1,0,0,9.6
1.5773046453735318,3.0,0,0,0,1,0,0,10.0
-0.5580118625299855,2.0,0,1,0,0,0,0,7.0
0.2577270281297852,3.0,0,1,0,0,0,0,9.0
-0.030180815632486802,2.0,0,1,0,0,0,0,9.7
0.5589639387329031,3.0,0,1,0,0,0,0,12.0
-0.9338915474418406,1.0,0,1,0,0,0,0,4.2
0.1857500671892172,2.0,0,1,0,0,0,0,5.7
-1.5283679285435687,1.0,0,1,0,0,0,0,1.4
-1.1204984832136835,2.0,0,1,0,0,0,0,2.2
-0.8325906394514115,3.0,0,1,0,0,0,0,2.6
-0.2754356455040518,2.0,0,1,0,0,0,0,8.0
-0.19546124445897628,2.0,0,1,0,0,0,0,8.3
0.25506121476161603,3.0,0,1,0,0,0,0,10.1
0.2923826019159846,3.0,0,1,0,0,0,0,10.3
0.7695631948182687,3.0,0,1,0,0,0,0,12.8
1.8278911019814352,5.0,0,1,0,0,0,0,16.3
-1.072513842586638,1.0,0,0,0,0,0,0,3.9
-0.624657196734215,2.0,0,0,0,0,0,0,5.1000000000000005
-0.43005282085786456,2.0,0,0,0,0,0,0,6.0
-0.2247851915088373,3.0,0,0,0,0,0,0,6.6000000000000005
-1.1551540569998828,1.0,0,1,0,0,0,0,4.55
-0.4247211941215262,2.0,0,1,0,0,0,0,7.25
-0.3740707401263117,2.0,0,1,0,0,0,0,7.35
-0.5820041828435081,2.0,0,0,0,0,0,0,6.2
0.06312265225343468,3.0,0,0,0,0,0,0,8.4
-0.5953332496843541,2.0,0,1,0,0,0,0,5.414000000000001
-0.4087263139125111,2.0,0,1,0,0,0,0,5.832000000000001
-0.12348428351840827,2.5,0,1,0,0,0,0,6.938
0.1137731062486492,2.5,0,1,0,0,0,0,7.503
0.2577270281297852,3.0,0,1,0,0,0,0,7.902
0.36969118959289093,3.0,0,1,0,0,0,0,8.209999999999999
2.145122892793568,3.0,0,1,0,0,0,0,24.9
3.661970699281835,4.0,0,1,0,0,0,0,46.0
-0.5953332496843541,2.0,0,1,0,0,0,0,4.575
-0.44871351443504887,2.0,0,1,0,0,0,0,4.934000000000001
-0.43271863422603374,2.0,0,1,0,0,0,0,4.974
-0.39806306043983436,2.0,0,1,0,0,0,0,5.056000000000001
-1.1924754441542516,1.0,0,1,0,0,0,0,3.6
-0.5953332496843541,2.0,0,1,0,0,0,0,5.5
-0.27010401876771345,2.5,0,1,0,0,0,0,6.550000000000001
0.7642315680819304,2.0,0,1,0,0,0,0,6.800000000000001
-0.08882870973220887,2.0,0,1,0,0,0,0,6.5
0.2523954013934468,3.0,0,1,0,0,0,0,9.2
0.5323058050512113,3.0,0,1,0,0,0,0,9.2
-1.1658173104725595,1.0,0,0,0,0,0,1,3.35
-0.6646443972567528,2.0,0,0,0,0,0,1,4.73
-0.28876471234489776,2.5,0,0,0,0,0,1,5.522
0.44433396390162816,3.0,0,1,0,0,0,0,13.6
-2.0801912957545903,3.5,0,1,0,0,0,0,14.3
-0.6113281298933692,2.0,0,0,0,0,0,0,4.759
-0.5953332496843541,2.0,0,0,0,0,0,0,4.7700000000000005
-0.5873358095798464,2.0,0,0,0,0,0,0,4.78
-0.5633434892663238,2.0,0,0,0,0,0,0,4.791
-0.5206904753756169,2.0,0,0,0,0,0,0,4.8020000000000005
0.9215145568039123,3.0,0,1,1,0,0,0,16.1
1.1241163727847703,3.0,0,1,1,0,0,0,17.0
1.3187207486611208,3.0,0,1,1,0,0,0,17.8
1.5186567512738098,3.0,0,1,1,0,0,0,18.7
2.0731459318530003,3.5,0,1,1,0,0,0,21.1
2.115798945743707,3.5,0,1,1,0,0,0,21.3
-0.8485855196604266,1.0,0,1,0,0,0,0,6.5
-0.37940236686265005,2.0,0,1,0,0,0,0,8.4
-0.3527442331809582,2.0,0,1,0,0,0,0,8.5
-0.05950476268234784,2.0,0,1,0,0,0,0,9.6
0.7269101809275618,3.0,0,1,0,0,0,0,12.9
0.8335427156543291,3.0,0,1,0,0,0,0,13.3
1.0094863979534954,3.0,0,1,0,0,0,0,13.9
1.0281470915306796,3.0,0,1,0,0,0,0,14.0
-0.6593127705204145,2.0,0,0,0,0,0,0,4.32
-0.47004002138040235,2.0,0,0,0,0,0,0,4.74
-1.2191335778359433,1.0,0,0,0,0,0,1,3.058
-0.6833050908339372,2.0,0,0,0,0,0,1,4.349
-0.6699760239930912,2.0,0,0,0,0,0,1,4.383
-0.6353204502068918,2.0,0,0,0,0,0,1,4.444
-0.6006648764206924,2.0,0,0,0,0,0,1,4.5520000000000005
-0.22211937814066812,3.0,0,0,0,0,0,1,5.4
-0.422055380753357,2.0,0,0,0,0,0,0,11.1
-0.2940963390812361,2.0,0,0,0,0,0,0,11.8
-0.23544844498151404,2.0,0,0,0,0,0,0,12.1
0.4816553510559967,3.0,0,0,0,0,0,0,16.2
0.5802904456782566,3.0,0,0,0,0,0,0,16.7
-0.955218054387194,1.0,0,0,1,0,0,0,3.6
-0.44871351443504887,2.0,0,0,1,0,0,0,5.2
-0.22211937814066812,2.0,0,0,0,0,0,0,7.9
0.14309705329851022,3.0,0,0,0,0,0,0,9.7
-0.523356288743786,2.0,0,1,0,0,0,0,6.806000000000001
-0.4860349015894175,2.0,0,1,0,0,0,0,6.841
-0.27010401876771345,2.0,0,1,0,0,0,0,7.800000000000001
0.23106889444809334,3.0,0,1,0,0,0,0,9.887
1.3507105090791511,4.0,0,1,0,0,0,0,14.0
2.342393082038088,5.0,0,1,0,0,0,0,17.7
-0.43005282085786456,2.0,0,0,0,0,0,0,6.88
-0.37940236686265005,2.0,0,0,0,0,0,0,6.88
2.0491536115394777,5.0,0,0,0,0,0,0,13.0
-0.5020297817984326,2.0,0,0,0,0,0,0,4.800000000000001
-0.4460477010668797,2.0,0,0,0,0,0,0,5.1000000000000005
-0.2247851915088373,2.0,0,0,0,0,0,0,5.6000000000000005
-0.4247211941215262,2.0,0,1,0,0,0,0,9.5
-0.26743820539954427,2.0,0,1,0,0,0,0,11.0
0.02846707846723527,2.0,0,1,0,0,0,0,11.8
0.6949204205095315,3.0,0,1,0,0,0,0,14.6
0.7322418076639001,3.0,0,1,0,0,0,0,14.7
0.788223888395453,3.0,0,1,0,0,0,0,14.9
-1.1045036030046684,1.0,0,1,0,0,0,0,3.868
-0.5340195422164628,2.0,0,1,0,0,0,0,5.800000000000001
-0.44871351443504887,2.0,0,1,0,0,0,0,6.072
-0.2274510048770065,2.0,0,1,0,0,0,0,8.149
0.5136451114740269,3.0,0,1,0,0,0,0,10.8
-0.28876471234489776,2.0,0,1,0,0,0,0,7.45
-0.13148172362291582,2.0,0,1,0,0,0,0,8.059000000000001
-0.05417313594600947,2.0,0,1,0,0,0,0,8.3
-0.7659453052471819,2.0,0,1,0,0,0,0,4.7250000000000005
-0.752616238406336,2.0,0,1,0,0,0,0,4.75
-0.7126290378837982,2.0,0,1,0,0,0,0,4.843
-0.5393511689528011,2.0,0,1,0,0,0,0,5.526
-0.1554740439364385,3.0,0,1,0,0,0,0,6.6000000000000005
-0.10482358994122398,3.0,0,1,0,0,0,0,6.7
-0.7126290378837982,2.0,0,0,0,0,0,0,4.57
-0.4753716481167407,2.0,0,0,0,0,0,0,4.55
-0.5353524489005473,2.0,0,0,0,0,0,0,5.9
0.1990791340300631,3.0,0,0,0,0,0,0,8.700000000000001
0.2737219083388003,3.0,0,0,0,0,0,0,8.9
0.38568606980190606,3.0,0,0,0,0,0,0,9.2
-1.0778454693229766,1.0,0,1,0,0,0,0,4.38
-0.7872718121925354,2.0,0,1,0,0,0,0,5.53
-0.7392871715654901,2.0,0,1,0,0,0,0,5.65
-0.5366853555846319,2.0,0,1,0,0,0,0,6.23
-0.07016801615502458,3.0,0,1,0,0,0,0,7.93
0.03913033193991201,3.0,0,1,0,0,0,0,8.25
1.9478527035490485,3.0,0,1,0,0,0,0,15.9
3.0648285048119375,4.0,0,1,0,0,0,0,21.5
-0.4433818876987105,2.0,0,1,0,0,0,1,4.574000000000001
0.07911753246244979,3.0,0,1,0,0,0,1,5.8950000000000005
-0.43138572754194915,2.0,0,1,0,0,0,0,5.9
0.4803224443719121,3.0,0,1,0,0,0,0,10.9
-1.2937763521446806,2.0,0,0,0,1,0,0,3.999000000000001
-0.925894107337333,2.0,0,0,0,1,0,0,5.399000000000001
-0.7046315977792906,2.0,0,0,0,1,0,0,5.9990000000000006
-1.3737507531897561,1.0,0,0,0,0,0,0,3.3000000000000003
-1.0645164024821305,1.0,0,0,0,0,0,0,4.7
-0.3020937791857437,2.0,0,0,0,0,0,0,7.0
-0.11548684341390072,2.0,0,0,0,0,0,0,7.300000000000001
0.01780382499455853,2.0,0,0,0,0,0,0,7.800000000000001
0.09777822603963408,2.0,0,0,0,0,0,0,8.3
1.01081930463758,3.0,1,1,0,0,0,0,17.5
2.257087054256674,3.5,1,1,0,0,0,0,25.0
4.141817105552288,4.5,1,1,0,0,0,0,42.0
-1.301773792249188,1.0,0,0,0,0,1,0,3.949
-1.2937763521446806,1.0,0,0,0,0,1,0,3.949
-1.3364293660353874,1.0,0,0,0,0,1,0,3.949
-0.6033306897888616,2.0,0,0,0,0,1,0,6.499
-0.6726418373612604,2.0,0,0,0,0,1,0,6.499
-0.6086623165252,2.0,0,0,0,0,1,0,6.499
-1.6350004632703363,1.0,0,1,0,0,0,0,1.319
-1.355090059612572,2.0,0,0,0,0,0,0,1.729
-0.4353844475942029,2.0,1,1,0,0,0,0,8.700000000000001
0.644269966514317,3.0,1,1,0,0,0,0,12.9
1.2174198406706918,3.0,1,1,0,0,0,0,16.0
1.883873182712988,4.0,1,1,0,0,0,0,23.0
-0.27810145887222104,2.0,1,1,0,0,0,0,9.5
0.5696271922055799,3.0,1,1,0,0,0,0,13.5
-0.3127570326584204,2.0,1,1,0,0,0,0,9.068
